station,horizon,variant,comparison_class,r2,rmse_W,mae_W,skill,convex_weight_uxgb,n_eval
7,H32,"equal_average(uxgb,pers)",fair,0.765662,116.938785,91.208006,-0.708774,,2407
7,H32,[ORACLE] best_single per pair,oracle,0.862862,89.457401,58.428909,0.0,,2407
7,H32,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.861331,89.955347,63.815756,-0.011164,0.18,2407
7,H96,"proposed (manuscript, no test access)",fair,0.861876,89.675588,62.837178,-0.002867,,2402
7,H96,"equal_average(uxgb,pers)",fair,0.766032,116.712554,91.544654,-0.698752,,2402
7,H96,[ORACLE] best_single per pair,oracle,0.86227,89.54731,58.520449,0.0,,2402
7,H96,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.86816,87.611929,59.653134,0.042759,0.13,2402
8,H1,"proposed (manuscript, no test access)",fair,0.97553,33.328112,24.076187,0.502983,,2479
8,H1,"equal_average(uxgb,pers)",fair,0.968824,37.618148,27.902161,0.366795,,2479
8,H1,[ORACLE] best_single per pair,oracle,0.974933,33.731966,23.773269,0.490865,,2479
8,H1,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.974933,33.731966,23.773269,0.490865,1.0,2479
8,H4,"proposed (manuscript, no test access)",fair,0.964203,40.310361,31.00003,0.272919,,2479
8,H4,"equal_average(uxgb,pers)",fair,0.961861,41.607811,31.703139,0.225361,,2479
8,H4,[ORACLE] best_single per pair,oracle,0.950765,47.274316,36.616132,0.0,,2479
8,H4,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.961861,41.607811,31.703139,0.225361,0.5,2479
8,H8,"proposed (manuscript, no test access)",fair,0.951472,46.931082,36.94106,0.014617,,2478
8,H8,"equal_average(uxgb,pers)",fair,0.943123,50.807917,40.386353,-0.154906,,2478
8,H8,[ORACLE] best_single per pair,oracle,0.950752,47.277882,36.615811,0.0,,2478
8,H8,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.953674,45.853693,35.74698,0.05934,0.19,2478
8,H16,"proposed (manuscript, no test access)",fair,0.943515,50.63235,40.157202,-0.146939,,2478
8,H16,"equal_average(uxgb,pers)",fair,0.892499,69.85024,55.940583,-1.182829,,2478
8,H16,[ORACLE] best_single per pair,oracle,0.950752,47.277882,36.615811,0.0,,2478
8,H16,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.950705,47.30026,36.619729,-0.000947,0.03,2478
8,H32,"proposed (manuscript, no test access)",fair,0.937883,53.089393,42.893366,-0.260661,,2477
8,H32,"equal_average(uxgb,pers)",fair,0.846573,83.436324,66.079749,-2.113818,,2477
8,H32,[ORACLE] best_single per pair,oracle,0.950727,47.283388,36.618179,0.0,,2477
8,H32,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.950826,47.235606,36.64946,0.00202,0.01,2477
8,H96,"proposed (manuscript, no test access)",fair,0.945042,49.936643,39.245062,-0.11424,,2472
8,H96,"equal_average(uxgb,pers)",fair,0.75258,105.954758,86.090409,-4.01627,,2472
8,H96,[ORACLE] best_single per pair,oracle,0.950677,47.307501,36.632981,0.0,,2472
8,H96,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.950677,47.307501,36.632981,0.0,0.0,2472
