station,horizon,model,nominal_pct,empirical_pct,width_W_m2,calibration_error_pp,status,width_per_sigma,winkler_score_W,cwc,sigma_y_W,n_calibration,n_evaluation
5,H32,Persistence,9.500000e+01,9.852000e+01,562.0,3.520000e+00,over-covered,1.882100e+00,629.584,1.8821,298.6082,2500,2500
5,H96,Proposed (FAME),9.000000e+01,9.551100e+01,356.4544,5.511000e+00,over-covered,1.196200e+00,431.6037,1.1962,297.9922,2495,2495
5,H96,Proposed (FAME),9.500000e+01,9.871740e+01,539.1584,3.717400e+00,over-covered,1.809300e+00,597.5675,1.8093,297.9922,2495,2495
5,H96,Unified XGBoost,9.000000e+01,8.781560e+01,954.8584,-2.184400e+00,under-covered,3.204300e+00,1209.8202,12.7556,297.9922,2495,2495
5,H96,Unified XGBoost,9.500000e+01,9.194390e+01,1078.3743,-3.056100e+00,under-covered,3.618800e+00,1342.7573,20.2986,297.9922,2495,2495
5,H96,Persistence,9.000000e+01,9.631260e+01,338.0,6.312600e+00,over-covered,1.134300e+00,425.8717,1.1343,297.9922,2495,2495
5,H96,Persistence,9.500000e+01,9.855710e+01,562.0,3.557100e+00,over-covered,1.886000e+00,627.7154,1.886,297.9922,2495,2495
6,H1,Proposed (FAME),9.000000e+01,9.710820e+01,405.1729,7.108200e+00,over-covered,1.111400e+00,463.8242,1.1114,364.5551,2559,2559
6,H1,Proposed (FAME),9.500000e+01,9.867140e+01,579.176,3.671400e+00,over-covered,1.588700e+00,621.7432,1.5887,364.5551,2559,2559
6,H1,Unified XGBoost,9.000000e+01,9.706920e+01,415.2929,7.069200e+00,over-covered,1.139200e+00,473.4821,1.1392,364.5551,2559,2559
6,H1,Unified XGBoost,9.500000e+01,9.859320e+01,576.3862,3.593200e+00,over-covered,1.581100e+00,622.7955,1.5811,364.5551,2559,2559
6,H1,Persistence,9.000000e+01,9.714730e+01,432.2666,7.147300e+00,over-covered,1.185700e+00,499.6752,1.1857,364.5551,2559,2559
6,H1,Persistence,9.500000e+01,9.878860e+01,636.2,3.788600e+00,over-covered,1.745100e+00,687.9853,1.7451,364.5551,2559,2559
6,H4,Proposed (FAME),9.000000e+01,9.683470e+01,412.659,6.834700e+00,over-covered,1.132000e+00,474.6625,1.132,364.5551,2559,2559
6,H4,Proposed (FAME),9.500000e+01,9.859320e+01,588.5188,3.593200e+00,over-covered,1.614300e+00,636.2484,1.6143,364.5551,2559,2559
6,H4,Unified XGBoost,9.000000e+01,9.652210e+01,630.0229,6.522100e+00,over-covered,1.728200e+00,716.3662,1.7282,364.5551,2559,2559
6,H4,Unified XGBoost,9.500000e+01,9.812430e+01,798.9534,3.124300e+00,over-covered,2.191600e+00,884.9759,2.1916,364.5551,2559,2559
6,H4,Persistence,9.000000e+01,9.714730e+01,432.2666,7.147300e+00,over-covered,1.185700e+00,499.6752,1.1857,364.5551,2559,2559
6,H4,Persistence,9.500000e+01,9.878860e+01,636.2,3.788600e+00,over-covered,1.745100e+00,687.9853,1.7451,364.5551,2559,2559
6,H8,Proposed (FAME),9.000000e+01,9.706920e+01,436.1249,7.069200e+00,over-covered,1.196300e+00,492.8736,1.1963,364.5592,2558,2559
6,H8,Proposed (FAME),9.500000e+01,9.859320e+01,593.6074,3.593200e+00,over-covered,1.628300e+00,644.3248,1.6283,364.5592,2558,2559
6,H8,Unified XGBoost,9.000000e+01,9.562330e+01,725.6204,5.623300e+00,over-covered,1.990400e+00,827.7955,1.9904,364.5592,2558,2559
6,H8,Unified XGBoost,9.500000e+01,9.796800e+01,894.8016,2.968000e+00,over-covered,2.454500e+00,994.2285,2.4545,364.5592,2558,2559
6,H8,Persistence,9.000000e+01,9.714730e+01,433.0,7.147300e+00,over-covered,1.187700e+00,500.1994,1.1877,364.5592,2558,2559
6,H8,Persistence,9.500000e+01,9.878860e+01,636.8666,3.788600e+00,over-covered,1.746900e+00,688.4905,1.7469,364.5592,2558,2559
6,H16,Proposed (FAME),9.000000e+01,9.667710e+01,418.172,6.677100e+00,over-covered,1.147000e+00,483.5306,1.147,364.5713,2558,2558
6,H16,Proposed (FAME),9.500000e+01,9.859270e+01,603.8063,3.592700e+00,over-covered,1.656200e+00,654.1231,1.6562,364.5713,2558,2558
6,H16,Unified XGBoost,9.000000e+01,9.444880e+01,832.8791,4.448800e+00,over-covered,2.284500e+00,968.4966,2.2845,364.5713,2558,2558
6,H16,Unified XGBoost,9.500000e+01,9.679440e+01,982.2848,1.794400e+00,over-covered,2.694400e+00,1128.1708,2.6944,364.5713,2558,2558
6,H16,Persistence,9.000000e+01,9.714620e+01,433.0,7.146200e+00,over-covered,1.187700e+00,500.2257,1.1877,364.5713,2558,2558
6,H16,Persistence,9.500000e+01,9.878810e+01,636.8666,3.788100e+00,over-covered,1.746900e+00,688.5106,1.7469,364.5713,2558,2558
6,H32,Proposed (FAME),9.000000e+01,9.691040e+01,422.7667,6.910400e+00,over-covered,1.159400e+00,489.8688,1.1594,364.6381,2557,2557
6,H32,Proposed (FAME),9.500000e+01,9.867030e+01,605.8889,3.670300e+00,over-covered,1.661600e+00,659.0694,1.6616,364.6381,2557,2557
6,H32,Unified XGBoost,9.000000e+01,9.550250e+01,965.038,5.502500e+00,over-covered,2.646600e+00,1064.1222,2.6466,364.6381,2557,2557
6,H32,Unified XGBoost,9.500000e+01,9.808370e+01,1156.0312,3.083700e+00,over-covered,3.170400e+00,1233.5967,3.1704,364.6381,2557,2557
6,H32,Persistence,9.000000e+01,9.714510e+01,433.0,7.145100e+00,over-covered,1.187500e+00,500.252,1.1875,364.6381,2557,2557
6,H32,Persistence,9.500000e+01,9.878760e+01,636.8666,3.787600e+00,over-covered,1.746600e+00,688.5308,1.7466,364.6381,2557,2557
6,H96,Proposed (FAME),9.000000e+01,9.686520e+01,429.7066,6.865200e+00,over-covered,1.177800e+00,492.2165,1.1778,364.8449,2552,2552
